id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,screen,sms,mood
AS14.01,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-19,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-02-20,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-02-21,,,,,,,,,,,,,,,,,,1.0,
AS14.01,2014-02-22,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-02-25,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-26,,,,,,,,,,,,,,1.0,-0.25,0.75,,1.0,6.0
AS14.01,2014-02-27,,,,,,,,,,,,,,,0.0,0.3333333333333333,,,6.0
AS14.01,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-01,,,,,,,,,,,,,,,,,,1.0,
AS14.01,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-05,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-06,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-12,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-14,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-03-15,,,,,,,,,,,,,,,,,,1.0,
AS14.01,2014-03-16,,,,,,,,,,,,,,,,,,1.0,
AS14.01,2014-03-17,,,,,,,,,,,,,,,,,,1.0,
AS14.01,2014-03-18,,,,,,,,,,,,,,1.0,,,,1.0,
AS14.01,2014-03-19,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-20,0.081547619047619,3.03665,32.05188235294117,58.476,,,,5.6725,49.617,,45.173,10.537,,1.0,,,25.76860008239748,,
AS14.01,2014-03-21,0.0464081100263132,4.691907692307693,29.082061224489795,53.024,6.193,,33.88,10.093,53.70869090909091,16.737299999999998,,13.10324,,1.0,0.2,0.2,37.65769662482016,,6.0
AS14.01,2014-03-22,0.1530645247185708,4.84334065934066,25.05678048780488,46.662,7.025333333333333,,,10.094166666666666,36.636,37.305,,26.594,,1.0,0.6,0.5,28.571803414923515,1.0,7.0
AS14.01,2014-03-23,0.1305398153601469,4.473368421052632,30.81074712643678,31.448666666666668,10.85075,,,8.1208,38.20082352941176,,,30.086,30.386,,0.2,0.8,39.51748353046375,,7.0
AS14.01,2014-03-24,0.0554853332135615,3.891212121212121,28.907163934426237,11.714833333333331,5.684333333333334,,3.01,11.093000000000002,36.83202702702703,8.751249999999999,,10.064,,1.0,0.0,0.0,37.01496629768543,,6.0
AS14.01,2014-03-25,0.0523832945964019,4.037239130434783,31.78645238095238,34.103,10.7635,,,7.92,49.33012,,11.363714285714286,22.2893,,,0.5,0.5,39.561105753366746,1.0,7.0
AS14.01,2014-03-26,0.0565890473688963,4.2712661290322576,26.61989655172414,110.42083333333332,8.721833333333334,,,11.305,47.22413333333333,,,33.365,,,-0.2,0.6,33.05777419305617,,7.0
AS14.01,2014-03-27,0.0631497702659217,4.699851063829788,27.14611333333333,50.337375,14.073,,10.383272727272727,9.755333333333333,36.730583333333335,23.657,,16.275363636363636,,1.0,0.2,0.8,40.54841463352606,1.0,7.0
AS14.01,2014-03-28,0.0403115445360604,5.29221551724138,24.078694444444444,66.49600000000001,12.738,116.518,,11.5845,25.63705,24.85506666666667,,16.35275,,1.0,-0.6,0.6,31.137839499815023,,7.0
AS14.01,2014-03-29,0.0521692457621263,4.544527027027027,30.58367924528302,49.41875,,,,11.0978,59.111,17.47833333333333,,19.51704347826087,,1.0,0.2,1.0,31.22358823757544,1.0,8.0
AS14.01,2014-03-30,0.049092970521542,4.7873125,24.337222222222223,96.787,,,,8.7268,55.895,,33.2385,38.296,,,-0.5,0.75,24.471700024604814,,8.0
AS14.01,2014-03-31,0.0469908276303643,4.6646,29.39821487603306,41.89787878787879,6.875833333333333,51.176,,12.134285714285712,40.76777272727273,36.6762,29.29,12.370882352941177,,1.0,0.0,0.6,35.048431193063024,,7.0
AS14.01,2014-04-01,0.0603467983679304,3.8526008968609866,28.37908379888268,42.94320833333333,5.950967741935483,78.247,30.796000000000003,8.230333333333332,29.979528846153848,28.856125,,14.53452,,1.0,0.2,0.0,31.936631909177347,,7.0
AS14.01,2014-04-02,0.1019166106382234,4.466841025641026,28.86402,46.32331034482758,6.294764705882352,,,5.5579375,34.853760869565214,,,11.561000000000002,,1.0,0.3333333333333333,0.6666666666666666,34.01785427122259,,6.0
AS14.01,2014-04-03,0.049238472708441,3.7569383259911895,29.070432624113472,49.75503846153846,6.516,,,8.710076923076922,34.71030434782609,19.082,,14.059384615384618,,1.0,-1.2,0.0,28.9906541655461,,6.0
